dateTime,Humidity_%,Latitude,Longitude,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3,PM2.5_ATM_ug/m3,PM2.5_CF1_ug/m3,Pressure_hpa,RSSI_dbm,Temperature_F,UptimeMinutes,date,hour,index,location,location_type
2019-12-31 16:00:00-08:00,43.43,37.747248,-122.48593799999999,4.78,12.69,8.87,8.87,,-56.27,70.13,1857.0,2020-01-01,00:00:00,,Sunset Reservoir ,outside 
2019-12-31 17:00:00-08:00,54.1,37.783122,122.44283999999999,8.05,15.83,13.75,13.75,,-60.27,65.8,40792.0,2020-01-01,01:00:00,,Civic Center,ish 
2019-12-31 18:00:00-08:00,71.63,37.734378,-122.444018,6.08,10.61,9.17,9.17,,-75.63,57.23,40890.0,2020-01-01,02:00:00,,Miraloma _ Glen Park ,outside 
2019-12-31 19:00:00-08:00,,37.783122,122.44283999999999,93.65,127.11,84.27,122.1,1017.47,,,18973.87,2020-01-01,03:00:00,,Civic Center,ish B 
2019-12-31 20:00:00-08:00,,37.774009,122.415481,4.24,9.29,7.67,7.67,1019.34,,,19077.07,2020-01-01,04:00:00,,Western SoMa ,Outside B 
2019-12-31 21:00:00-08:00,40.87,37.790083,-122.42756200000001,1.34,3.89,2.81,2.81,,-72.9,74.97,40259.0,2020-01-01,05:00:00,,CalOctaviaOutside ,outside 
2019-12-31 22:00:00-08:00,63.27,37.773392,-122.43327,12.7,26.73,22.02,22.23,,-64.2,58.87,19855.0,2020-01-01,06:00:00,,Oak Yard ,outside 
2019-12-31 23:00:00-08:00,68.13,37.760915999999995,-122.45215900000001,3.28,9.29,7.04,7.04,,-77.67,55.77,30474.0,2020-01-01,07:00:00,,Cole Valley ,outside 
2020-01-01 00:00:00-08:00,62.6,37.751262,-122.40805900000001,20.62,42.22,29.64,35.19,,-72.87,60.5,9669.0,2020-01-01,08:00:00,,46 Hours ,outside 
2020-01-01 01:00:00-08:00,,37.783122,122.44283999999999,11.78,26.12,21.35,21.49,1018.49,,,18992.8,2020-01-01,09:00:00,,Civic Center,ish B 
2020-01-01 02:00:00-08:00,61.23,37.795219,-122.43264099999999,11.6,25.65,21.2,21.21,,-74.1,60.0,41219.0,2020-01-01,10:00:00,,The Hamlin School - Science Labs ,outside 
2020-01-01 03:00:00-08:00,67.27,37.778191,-122.39499199999999,17.35,38.62,30.45,31.39,,-64.07,59.27,48401.0,2020-01-01,11:00:00,,Central SOMA ,outside 
2020-01-01 04:00:00-08:00,52.97,37.747370000000004,-122.41321299999998,17.25,32.33,27.4,27.55,,-59.5,-229.0,11021.0,2020-01-01,12:00:00,,Precita Park ,outside 
