,Latitude,Longitude,location,location_type,day_count,measurement_count,Humidity_%,PM2.5_ATM_ug/m3,Temperature_F,UptimeMinutes,PM10.0_CF1_ug/m3,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3
1,37.769415,-122.435321,27 Scott ,outside ,3051,3051,53.3129170763686,5.76577187807277,60.2873320222877,26778.6868469354,8.25211406096364,2.97673221894461,5.86000327761392
2,37.750941,122.420312,Synergy School ,outside ,3439,3307,52.7606864227399,6.87484124584216,61.7517780465679,12428.715379498,10.2013516782582,3.55287874206231,6.95980949501059
3,37.750941,122.420312,Synergy School ,outside B ,3439,3307,52.7606864227399,6.87484124584216,61.7517780465679,12428.715379498,10.2013516782582,3.55287874206231,6.95980949501059
4,37.762414,-122.418969,2169 Mission Street ,outside ,3339,3330,47.7725555555555,7.4352942942943,64.172933933934,10540.4544204204,9.65513513513511,4.11917717717718,7.64774774774774
5,37.751262,-122.408059,46 Hours ,outside ,3364,3364,49.965737217598,7.49282699167655,62.3080529131983,20178.9456629013,9.42848989298452,4.42564506539833,7.66072829964326
6,37.788969,-122.391387,South Beach ,outside ,3488,3383,77.745279337866,6.15624002364763,67.7607301211941,12037.3382678096,7.98993496896246,3.79878214602425,6.30246231155777
7,37.738866,-122.502425,Outer Sunset Vincente ,outside ,3387,3385,59.9098788774005,8.56143574593794,60.4741861152142,20671.5997163959,12.0390221565732,4.12705465288037,8.73685081240765
8,37.746024,-122.415778,Bernal Breathe ,outside ,3465,3399,55.0110620770816,8.05171521035597,62.561015004413,28833.11858782,9.78606649014418,4.89116799058549,8.56430714916149
9,37.722417,-122.439245,#SFAQ10 ,outside ,3416,3416,44.3098799765807,13.9054361826698,60.5477312646372,27839.8607289227,16.1780942622951,8.64221311475412,14.9756469555035
10,37.782088,-122.389761,South Beach Marina Apts ,outside ,3437,3431,29.9978344505975,10.0852637714952,77.4642844651704,21689.524278636,15.4779860099097,6.38168464004663,11.7772777615855
11,37.739245,-122.439067,Diamond Heights ,outside ,3488,3440,58.647796511628,5.74443023255814,58.8253779069766,419.650343023255,7.0632703488372,3.6319273255814,5.88243313953488
12,37.788548,-122.488731,Sea Cliff Avenue ,outside ,3485,3448,61.7590719257542,7.80128770301622,59.188921113689,16109.547975638,11.2963370069606,4.02813805104408,8.00238979118327
13,37.757838,-122.41958,San Carlos St. ,outside ,3459,3459,51.2893639780283,7.02784908933214,60.2154379878579,25183.2304394334,7.93719283029779,4.4637872217404,7.28495808037002
14,37.760916,-122.452159,Cole Valley ,outside ,3504,3461,58.8979572377925,3.82553597226236,57.8786535683329,5984.43460271597,4.98169604160648,2.02286333429647,3.89012135221036
15,37.756039,-122.390671,Quartz Outdoor ,outside ,3482,3466,30.9033352567802,3.6175216387767,75.696477207155,15433.7101731102,4.13772937103289,2.68093768032317,3.6427524523947
16,37.764131,-122.448009,Cole Valley ,outside ,3498,3467,58.6814046726276,6.89582636284974,58.411096048457,12722.1127170464,8.53826651283529,4.26262186328239,7.0794289010672
17,37.77509,-122.433174,Alamo Square ,outside ,3486,3476,53.4181415420022,6.51389815880321,60.5205408515537,29044.0869275029,7.5431846950518,3.51627733026468,6.61571058688147
18,37.75213,-122.465573,Golden Gate Heights ,outside ,3483,3477,54.8575035950534,5.21169398907104,61.3175898763301,20173.2658469945,5.93066148979004,3.56181765890137,5.2735519125683
19,37.756303,-122.421366,Hill St - Valencia ,outside ,3490,3477,56.2310698878343,6.50049467932126,59.5844521138914,17045.1385447225,8.44811619211961,3.93480299108427,6.67191256830601
20,37.757645,122.44284,25 Short Street _ Kite Hill ,exterior ,3505,3483,79.9320152782829,5.8483290267011,61.9956929792651,19432.2785529716,7.27306057995981,3.50515360321562,6.07167958656328
21,37.757645,122.44284,25 Short Street _ Kite Hill ,exterior B ,3505,3483,79.9320152782829,5.8483290267011,61.9956929792651,19432.2785529716,7.27306057995981,3.50515360321562,6.07167958656328
22,37.727878,-122.463088,Mt. Davidson Manor ,outside ,3493,3485,57.2629239598278,5.23087230989959,58.6409756097559,18646.9270129125,6.37852797704445,2.87701578192253,5.29265136298424
23,37.769831,-122.451778,Mud Upper Haight ,outside ,3505,3488,45.0059891055047,7.32066513761469,67.3351232798163,19995.1586697248,8.22298165137612,5.65432912844039,7.69669151376146
24,37.770439,-122.414623,Isis St ,outside ,3497,3488,56.4809059633029,7.60563360091744,61.1060665137615,14269.0544896789,9.72419724770644,5.38402809633028,7.85862672018351
25,37.737107,-122.465512,St Francis Wood ,outside ,3496,3490,,5.26704871060174,,9479.92051289398,6.97566762177652,2.98663323782236,5.32313467048713
26,37.760147,-122.501445,judah_42_v2 ,outside ,3497,3495,61.6320829756794,7.76526752503577,57.0978454935621,1279.01981688126,10.7114964234621,4.0132589413448,7.98187410586552
27,37.74154,-122.415075,Bernal Heights ,outside ,3505,3497,84.9593764345831,6.27948813268515,61.8198201989289,14932.5383700314,7.51211895910779,3.46336574206463,6.37221904489562
28,37.742312,-122.43094,South Noe ,outside ,3505,3497,58.0648698884759,6.16456105233054,62.1220102945381,20837.6484100658,7.45634257935373,3.4830140120103,6.27426937374891
29,37.780077,-122.439895,Western Addition ,outside ,3497,3497,54.539854160709,6.24980554761223,59.2534172147556,19577.2246725765,8.28668859022016,3.32798398627397,6.39119531026593
30,37.740306,-122.409841,Ski Bernal ,outside ,3505,3498,56.2912721555175,6.00046026300741,61.4664665523155,17154.8899857061,7.11227844482566,3.64465408805032,6.11553459119495
31,37.74737,-122.413213,Precita Park ,outside ,3499,3499,41.5013975421551,6.08670191483282,-229,16877.1905487282,7.65895398685342,3.73415547299228,6.19389539868536
32,37.72723,-122.440343,NeuJohnstein2 ,outside ,3505,3500,57.4571857142858,6.04392857142856,60.0172971428572,14316.8928914286,7.27913428571427,3.37804857142859,6.16389714285714
33,37.751396,-122.436945,24th and Diamond ,outside ,3505,3500,87.2572057142858,6.43235714285715,58.4975257142857,26813.6046371428,8.00803428571432,3.95124285714288,6.56439428571429
34,37.752329,-122.400426,de Haro Blvd ,outside ,3505,3501,57.7240531276779,6.72421308197659,58.7810111396742,32254.6633618966,8.57390174235933,3.54275349900029,6.84868608968866
35,37.799105,-122.406206,Telegraph Hill South ,outside ,3505,3501,55.4939331619535,7.77003998857467,61.0439131676664,18767.7607369323,9.48059982862038,4.47192230791203,7.95382747786344
36,37.802976,-122.443511,Marina District SF ,outside ,3503,3501,49.8803370465582,5.36990859754356,62.7275664095969,21482.2821422451,5.98469865752641,3.43321336760927,5.46824621536704
37,37.804488,-122.403136,RoundhouseOne ,outside ,3505,3501,52.0277063696085,6.19202513567551,62.2665438446159,13171.5145815481,7.69700942587833,3.77387603541847,6.31551271065408
38,37.72714,-122.44277,By Balboa Park Pool ,outside ,3505,3502,55.2249143346658,6.60840948029697,61.0325728155339,34251.0904140491,8.83940319817248,3.59511993146774,6.7697344374643
39,37.761385,-122.439463,Castro ,outside ,3504,3502,48.3211107938319,5.25175613934896,63.1947230154198,30013.8474671616,6.43450028555113,3.21792689891493,5.328660765277
