dateTime,Humidity_%,PM1.0_CF1_ug/m3,PM10.0_CF1_ug/m3,PM2.5_ATM_ug/m3,PM2.5_CF1_ug/m3,Pressure_hpa,RSSI_dbm,Temperature_F,UptimeMinutes,location,Longitude,Latitude,location_type,date
2020-04-16,65.05,1.76,5.91,4.64,4.64,,-57.76,60.11,61245.0,Alamo Square ,-122.433174,37.77509,outside ,2020-04-16
2020-04-16,59.66,3.07,6.83,4.96,5.17,,-53.52,61.68,26941.0,19th St & Guerrero St  ,-122.424406,37.760688,outside ,2020-04-16
2020-04-16,,2.49,6.62,5.05,5.06,1010.77,,,18992.12,Civic Center,122.44284,37.783122,ish B ,2020-04-16
2020-04-16,60.36,1.37,4.8,3.19,3.19,,-59.4,61.66,61241.0,Castro ,-122.439463,37.761385,outside ,2020-04-16
2020-04-16,,1.57,5.88,3.98,3.98,679.76,,,19360.64,25 Short Street _ Kite Hill ,122.44284,37.757645,exterior B ,2020-04-16
2020-04-16,62.91,2.64,9.57,5.99,6.74,,-58.69,62.3,6638.0,Castle Bosworth ,-122.429299,37.7333,outside ,2020-04-16
2020-04-16,55.61,2.55,5.67,4.46,4.46,,-67.22,63.81,61227.0,930 Post ,-122.417252,37.787307,outside ,2020-04-16
2020-04-16,58.78,1.94,5.92,4.01,4.01,,-56.93,65.24,61225.0,23rd & Lake ,-122.482905,37.785605,outside ,2020-04-16
2020-04-16,63.52,2.17,6.45,4.55,4.67,,-64.31,60.7,16947.0,66 Cumberland Street ,-122.425023,37.759338,outside ,2020-04-16
2020-04-16,66.33,1.73,5.08,4.3,4.3,,-52.33,62.53,26560.0,45th Ave-MR ,-122.50442,37.751562,outside ,2020-04-16
2020-04-16,60.1,1.69,7.82,4.4,4.4,,-68.28,63.89,29585.0,Central SOMA ,-122.394992,37.778191,outside ,2020-04-16
2020-04-16,,1.42,5.71,3.9,3.9,,-55.63,,15513.0,Bernal Heights ,-122.415075,37.74154,outside ,2020-04-16
2020-04-16,59.64,1.49,5.33,3.88,3.97,,-54.37,65.12,54201.0,Bernal Breathe ,-122.415778,37.746024,outside ,2020-04-16
